,0
2022-10-07,1.657
2022-10-10,1.656
2022-10-11,1.655
2022-10-12,1.654
2022-10-13,1.653
2022-10-14,1.652
2022-10-17,1.652
2022-10-18,1.651
2022-10-19,1.651
2022-10-20,1.65
2022-10-21,1.65
2022-10-24,1.648
2022-10-25,1.647
2022-10-26,1.645
2022-10-27,1.642
2022-10-28,1.64
2022-10-31,1.637
2022-11-01,1.633
2022-11-02,1.63
2022-11-03,1.627
2022-11-04,1.624
2022-11-07,1.623
2022-11-08,1.622
2022-11-09,1.62
2022-11-10,1.619
2022-11-11,1.618
2022-11-14,1.617
2022-11-15,1.616
2022-11-16,1.615
2022-11-17,1.614
2022-11-18,1.613
2022-11-21,1.612
2022-11-22,1.612
2022-11-23,1.612
2022-11-25,1.612
2022-11-28,1.612
2022-11-29,1.612
2022-11-30,1.613
2022-12-01,1.614
2022-12-02,1.615
2022-12-05,1.616
2022-12-06,1.616
2022-12-07,1.617
2022-12-08,1.619
2022-12-09,1.621
2022-12-12,1.623
2022-12-13,1.625
2022-12-14,1.628
2022-12-15,1.632
2022-12-16,1.637
2022-12-19,1.64
2022-12-20,1.644
2022-12-21,1.648
2022-12-22,1.651
2022-12-23,1.655
2022-12-27,1.657
2022-12-28,1.658
2022-12-29,1.66
2022-12-30,1.662
2023-01-03,1.663
2023-01-04,1.666
2023-01-05,1.668
2023-01-06,1.67
2023-01-09,1.672
2023-01-10,1.673
2023-01-11,1.675
2023-01-12,1.676
2023-01-13,1.678
2023-01-17,1.68
2023-01-18,1.682
2023-01-19,1.683
2023-01-20,1.685
2023-01-23,1.686
2023-01-24,1.687
2023-01-25,1.691
2023-01-26,1.693
2023-01-27,1.697
2023-01-30,1.701
2023-01-31,1.705
2023-02-01,1.708
2023-02-02,1.711
2023-02-03,1.713
2023-02-06,1.714
2023-02-07,1.715
2023-02-08,1.716
2023-02-09,1.718
2023-02-10,1.72
2023-02-13,1.722
2023-02-14,1.725
2023-02-15,1.728
2023-02-16,1.73
2023-02-17,1.732
2023-02-21,1.733
2023-02-22,1.734
2023-02-23,1.735
2023-02-24,1.736
2023-02-27,1.736
2023-02-28,1.736
2023-03-01,1.736
2023-03-02,1.735
2023-03-03,1.735
2023-03-06,1.735
2023-03-07,1.734
2023-03-08,1.732
2023-03-09,1.731
2023-03-10,1.73
2023-03-13,1.729
2023-03-14,1.727
2023-03-15,1.725
2023-03-16,1.725
2023-03-17,1.724
2023-03-20,1.725
2023-03-21,1.723
2023-03-22,1.722
2023-03-23,1.721
2023-03-24,1.72
2023-03-27,1.72
2023-03-28,1.719
2023-03-29,1.718
2023-03-30,1.717
2023-03-31,1.716
2023-04-03,1.716
2023-04-04,1.716
2023-04-05,1.716
2023-04-06,1.717
2023-04-10,1.718
2023-04-11,1.719
2023-04-12,1.719
2023-04-13,1.72
2023-04-14,1.72
2023-04-17,1.72
2023-04-18,1.721
2023-04-19,1.721
2023-04-20,1.72
2023-04-21,1.721
2023-04-24,1.721
2023-04-25,1.721
2023-04-26,1.72
2023-04-27,1.722
2023-04-28,1.724
2023-05-01,1.726
2023-05-02,1.727
2023-05-03,1.729
2023-05-04,1.731
2023-05-05,1.734
2023-05-08,1.734
2023-05-09,1.735
2023-05-10,1.736
2023-05-11,1.737
2023-05-12,1.738
2023-05-15,1.739
2023-05-16,1.74
2023-05-17,1.743
2023-05-18,1.745
2023-05-19,1.747
2023-05-22,1.749
2023-05-23,1.751
2023-05-24,1.753
2023-05-25,1.755
2023-05-26,1.759
2023-05-30,1.762
2023-05-31,1.765
2023-06-01,1.768
2023-06-02,1.771
2023-06-05,1.774
2023-06-06,1.777
2023-06-07,1.78
2023-06-08,1.782
2023-06-09,1.783
2023-06-12,1.784
2023-06-13,1.784
2023-06-14,1.785
2023-06-15,1.787
2023-06-16,1.79
2023-06-20,1.792
2023-06-21,1.793
2023-06-22,1.794
2023-06-23,1.795
2023-06-26,1.796
2023-06-27,1.796
2023-06-28,1.796
2023-06-29,1.796
2023-06-30,1.796
2023-07-03,1.797
2023-07-05,1.796
2023-07-06,1.796
2023-07-07,1.795
2023-07-10,1.795
2023-07-11,1.795
2023-07-12,1.795
2023-07-13,1.795
2023-07-14,1.796
2023-07-17,1.797
2023-07-18,1.798
2023-07-19,1.8
2023-07-20,1.801
2023-07-21,1.802
2023-07-24,1.803
2023-07-25,1.802
2023-07-26,1.803
2023-07-27,1.801
2023-07-28,1.799
2023-07-31,1.798
2023-08-01,1.796
2023-08-02,1.794
2023-08-03,1.792
2023-08-04,1.791
2023-08-07,1.791
2023-08-08,1.792
2023-08-09,1.792
2023-08-10,1.793
2023-08-11,1.793
2023-08-14,1.793
2023-08-15,1.792
2023-08-16,1.792
2023-08-17,1.792
2023-08-18,1.792
2023-08-21,1.791
2023-08-22,1.792
2023-08-23,1.791
2023-08-24,1.79
2023-08-25,1.789
2023-08-28,1.788
2023-08-29,1.787
2023-08-30,1.786
2023-08-31,1.785
2023-09-01,1.783
2023-09-05,1.782
2023-09-06,1.781
2023-09-07,1.781
2023-09-08,1.782
2023-09-11,1.782
2023-09-12,1.783
2023-09-13,1.783
2023-09-14,1.784
2023-09-15,1.786
2023-09-18,1.787
2023-09-19,1.787
2023-09-20,1.788
2023-09-21,1.788
2023-09-22,1.789
2023-09-25,1.79
2023-09-26,1.791
2023-09-27,1.792
2023-09-28,1.793
2023-09-29,1.794
2023-10-02,1.795
2023-10-03,1.796
2023-10-04,1.798
2023-10-05,1.799
2023-10-06,1.799
2023-10-09,1.8
2023-10-10,1.801
2023-10-11,1.802
2023-10-12,1.802
2023-10-13,1.802
2023-10-16,1.802
2023-10-17,1.804
2023-10-18,1.805
2023-10-19,1.806
2023-10-20,1.809
2023-10-23,1.812
2023-10-24,1.815
2023-10-25,1.819
2023-10-26,1.824
2023-10-27,1.829
2023-10-30,1.833
2023-10-31,1.836
2023-11-01,1.838
2023-11-02,1.841
2023-11-03,1.844
2023-11-06,1.847
2023-11-07,1.85
2023-11-08,1.853
2023-11-09,1.856
2023-11-10,1.859
2023-11-13,1.862
2023-11-14,1.865
2023-11-15,1.868
2023-11-16,1.871
2023-11-17,1.874
2023-11-20,1.876
2023-11-21,1.88
2023-11-22,1.883
2023-11-24,1.886
2023-11-27,1.891
2023-11-28,1.896
2023-11-29,1.901
2023-11-30,1.906
2023-12-01,1.91
2023-12-04,1.911
2023-12-05,1.912
2023-12-06,1.913
2023-12-07,1.914
2023-12-08,1.913
2023-12-11,1.913
